id;codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;iso_departamento
294b6ff8-3585-4f47-839f-00507ec58a1e;05;05660000;ANTIOQUIA;SAN LUIS;CO-ANT
34fd1d96-2edd-4cbf-abcf-68dadc9959df;05;05664000;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;CO-ANT
21855ca0-d161-49ed-9084-78fd6f244939;05;05665000;ANTIOQUIA;SAN PEDRO DE URABÁ;CO-ANT
47709763-ca11-4844-ab37-f7f0e98ca38f;05;05667000;ANTIOQUIA;SAN RAFAEL;CO-ANT
e82567b1-c70c-4f9e-bbfc-dd0afb59c009;05;05670000;ANTIOQUIA;SAN ROQUE;CO-ANT
5f7693c9-cc98-48f8-bc67-81e7b7147058;05;05679000;ANTIOQUIA;SANTA BÁRBARA;CO-ANT
9d546506-f0b1-43e1-96b7-0ac05de63d47;05;05042000;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;CO-ANT
5d6c9f98-8736-44f5-8ff3-6d813183df00;05;05686000;ANTIOQUIA;SANTA ROSA DE OSOS;CO-ANT
86738992-abb7-4828-9983-98fd109061f5;05;05690000;ANTIOQUIA;SANTO DOMINGO;CO-ANT
24350c42-29bd-4dca-b93b-0f39eda62af4;05;05674000;ANTIOQUIA;SAN VICENTE FERRER;CO-ANT
6909cb0c-3318-4d3d-a675-9cad52b76a82;05;05736000;ANTIOQUIA;SEGOVIA;CO-ANT
5c33d1e2-372f-4ee7-85d6-43d814de2769;05;05756000;ANTIOQUIA;SONSÓN;CO-ANT
f882bfd2-7cf3-4edd-90ba-94f42b67d5ae;05;05761000;ANTIOQUIA;SOPETRÁN;CO-ANT
c3368897-f227-42bf-b40f-ccdbc0312c59;05;05789000;ANTIOQUIA;TÁMESIS;CO-ANT
07666258-2a9d-49be-a624-432bb23a1056;05;05790000;ANTIOQUIA;TARAZÁ;CO-ANT
338a9d2d-cada-4860-bdc7-940fd16221a1;05;05792000;ANTIOQUIA;TARSO;CO-ANT
38726c7c-f904-4c1e-9f6e-32cecce22d87;05;05809000;ANTIOQUIA;TITIRIBÍ;CO-ANT
c9c15647-5ea5-42a2-8690-249f6c94f170;05;05819000;ANTIOQUIA;TOLEDO;CO-ANT
0221de4c-504d-42ad-9e7e-c25661683b5b;05;05837000;ANTIOQUIA;TURBO;CO-ANT
98db7e25-6153-4e7e-8ff1-300fa0892ca9;05;05842000;ANTIOQUIA;URAMITA;CO-ANT
2372b930-4e17-4c9c-903a-0e32afa3d940;05;05847000;ANTIOQUIA;URRAO;CO-ANT
6515463b-799c-4a1f-9146-a57add329c30;05;05854000;ANTIOQUIA;VALDIVIA;CO-ANT
